latitude,longitude,name
"8°25'24.85""S","35°57'38.02""W",Caroá
"21°36'42.017""S","51°8'51.788""W",Flórida Paulista
"20°13'43.675""S","50°34'26.616""W",Jales
"17°23'5.154""S","52°27'5.832""W",Parque das Emas
"17°22'29.767""S","44°54'16.798""W",Pirapora
"17°36'15.07""S","51°41'30.933""W",Rio Claro - GO
"21°14'35.451""S","50°52'42.495""W",Valparaíso
"21°27'39.952""S","51°35'12.684""W",Dracena
"16°47'48.530""S","49°30'49.324""W",Carajás I
"16°47'46.468""S","49°30'52.070""W",Carajás II
"16°47'42.490""S","49°30'56.588""W",Carajás III
"16°47'38.720""S","49°30'59.926""W",Carajás IV
"16°47'43.400""S","49°30'41.184""W",Carajás V
"16°47'37.104""S","49°30'44.532""W",Carajás VI
"16°47'30.142""S","49°30'50.090""W",Carajás VII
"18°53'53.21""S","52°23'39.70""W",Chapadão 1
18°54'06.02''S,"52°24'53.73""W",Chapadão 2
"9°31'54.0940""S","40°53'46.0270""W",Cachoeirinha
"15°39'47.30""S","45°57'29.80""W",Aurora 66
"15°40'58.89""S","45°58'20.67""W",Aurora 67
"15°41'34.98""S","45°57'46.02""",Aurora 68
"15°41'24.06""S","45°58'30.32""W",Aurora 69
"15°41'54.32""S","45°57'54.50""W",Aurora 70
"15°41'31.38""S","45°58'58.52""W",Aurora 71
"15°41'47.77""S","45°58'40.21""W",Aurora 72
"15°42'31.18""S","45°58'15.73""W",Aurora 73
"15°42'42.43""S","45°57'37.27""W",Aurora 74
"8°26'35.24""S","37°9'43.84""W",Iris Sol 01
"8°26'27.30""S","37°9'59.56""W",Iris Sol 02
"8°26'42.16""S","37°10'18.88""W",Iris Sol 03
"8°26'23.91""S","37°10'19.03""W",Iris Sol 04
"8°26'3.78""S","37°10'19.98""W",Iris Sol 05
"8°25'47.75""S","37°10'9.57""W",Iris Sol 06
"8°25'48.25""S","37°10'31.02""W",Iris Sol 07
"15°48'45.99""S","43°37'31.59""W",Pre Cedro I
"15°49'06.54""S","43°37'30.12""W",Pre Cedro II
"15°48'35.12""S","43°37'36.52""W",Pre Cedro III
"15°49'34.59""S","43°39'21.26""W",Pre Cedro IV
"15°49'50.81""S","43°39'29.54""W",Pre Cedro V
"15°50'01.37""S","43°39'42.97""W",Pre Cedro VI
"15°49'40.61""S","43°39'51.72""W",Pre Cedro VII
"15°49'22.20""S","43°40'04.11""W",Pre Cedro VIII
"15°49'01.97""S","43°39'59.15""W",Pre Cedro IX
"15°53'19.24""S","43°39'26.18""W",Pre Cedro X
"15°53'22.39""S","43°39'45.06""W",Pre Cedro XI
"15°53'22.15""S","43°40'01.12""W",Pre Cedro XII
"15°53'20.51""S","43°40'17.28""W",Pre Cedro XIII
"15°53'13.17""S","43°40'40.01""W",Pre Cedro XIV
"9°21'11.30""S","38°11'20.76""W",Zebu I
"9°21'28.94""S","38°11'3.54""W",Zebu II
"9°21'8.19""S","38°10'32.94""W",Zebu III
"9°22'19.53""S","38°9'37.20""W",Zebu IV
"9°22'37.90""S","38°9'55.09""W",Zebu V
"9°23'6.98""S","38°9'56.20""W",Zebu VI
"9°22'50.16""S","38°10'57.19""W",Zebu VII
"9°23'20.12""S","38°10'33.18""W",Zebu VIII
"9°23'18.61""S","38°9'32.21""W",Zebu IX
"15°38'46.00""S","45°56'48.21""W",Aurora 64
"15°39'17.53""S","45°57'5.22""W",Aurora 65
"16°04'46.23""S","43°35'40.30""W",Barreiro I
"16°04'40.80""S","43°35'11.63""W",Barreiro II
"16°04'22.64""S","43°35'00.05""W",Barreiro III
"16°04'20.83""S","43°36'23.03""W",Barreiro IV
"16°03'29.50""S","43°35'31.94""W",Barreiro V
"16°03'31.76""S","43°35'01.23""W",Barreiro VI
"16°03'26.24""S","43°37'19.09""W",Barreiro VII
"16°03'23.82""S","43°36'51.58""W",Barreiro VIII
"16°03'09.06""S","43°36'31.12""W",Barreiro IX
"16°02'56.90""S","43°36'06.12""W",Barreiro X
"16°02'34.26""S","43°35'35.23""W",Barreiro XI
"16°01'45.20""S","43°35'24.15""W",Barreiro XII
"16°01'27.87""S","43°34'59.04""W",Barreiro XIII
"16°00'53.87""S","43°34'53.83""W",Barreiro XIV
"16°02'38.61""S","43°38'22.87""W",Barreiro XV
"16°02'51.95""S","43°37'55.23""W",Barreiro XVI
"16°02'49.94""S","43°37'27.29""W",Barreiro XVII
"16°02'28.20""S","43°37'04.23""W",Barreiro XVIII
"16°02'20.23""S","43°36'30.41""W",Barreiro XIX
"16°02'12.73""S","43°35'56.75""W",Barreiro XX
"16°02'19.61""S","43°38'51.63""W",Barreiro XXI
"16°02'17.02""S","43°37'50.73""W",Barreiro XXII
"16°01'56.43""S","43°37'08.24""W",Barreiro XXIII
"16°01'46.10""S","43°38'41.43""W",Barreiro XXIV
"16°01'46.05""S","43°37'54.85""W",Barreiro XXV
"16°01'08.31""S","43°38'19.36""W",Barreiro XXVI
"16°01'19.96""S","43°37'44.56""W",Barreiro XXVII
"8°2'38""S","38°36'7""W",Serra do Sol I
"8°2'20""S","38°35'27""W",Serra do Sol II
"8°2'20""S","38°36'10""W",Serra do Sol III
"8°1'56""S","38°35'39""W",Serra do Sol IV
"8°1'59""S","38°35'3""W",Serra do Sol V
"8°1'14""S","38°34'28""W",Serra do Sol VI
"28°25'04""S","53°54'35""W",3 Tentos Ijuí
"17°9'55.05""S","44°28'25.46""W",Chapada 1
"17°9'41.88""S","44°28'46.46""W",Chapada 2
"17°06'14.66""S","53°15'11.35""W",Euca Energy
"15°23'27.58""S","44°16'42.35""W",Projeto Solar do Médio São Francisco
"17°53'9.41""S","44°53'51.78""W",Várzea da Palma V
"17°53'10.77""S","44°54'26.51""W",Várzea da Palma VI
"17°53'41.97""S","44°54'13.71""W",Várzea da Palma VII
"17°53'59.45""S","44°53'57.46""W",Várzea da Palma VIII
"13°17'3.91""S","43°19'52.28""W",Parque Solar Welton 1
"13°17'17.07""S","43°19'29.26""W",Parque Solar Welton 2
"13°17'24.95""S","43°19'5.92""W",Parque Solar Welton 3
"13°16'55.66""S","43°20'15.09""W",Parque Solar Welton 4
